state,cd,dem_vote_percent,gop_vote_percent
AL,1,34.10%,63.50%
AL,2,33.00%,64.90%
AL,3,32.30%,65.30%
AL,4,17.40%,80.40%
AL,5,31.30%,64.70%
AL,6,26.10%,70.80%
AL,7,69.80%,28.60%
AK,AL,37.60%,52.80%
AZ,1,46.60%,47.70%
AZ,2,49.60%,44.70%
AZ,3,62.40%,32.50%
AZ,4,27.50%,67.70%
AZ,5,36.50%,57.60%
AZ,6,42.40%,52.40%
AZ,7,71.80%,22.60%
AZ,8,37.00%,58.10%
AZ,9,54.70%,38.40%
AR,1,30.20%,65.00%
AR,2,41.70%,52.40%
AR,3,30.50%,61.70%
AR,4,31.30%,64.20%
CA,1,36.50%,56.20%
CA,2,69.00%,23.30%
CA,3,53.00%,40.40%
CA,4,39.30%,54.00%
CA,5,69.20%,24.30%
CA,6,69.20%,24.40%
CA,7,52.30%,40.90%
CA,8,39.60%,54.70%
CA,9,56.60%,38.00%
CA,10,48.50%,45.50%
CA,11,71.50%,22.70%
CA,12,86.20%,8.70%
CA,13,87.40%,6.80%
CA,14,76.90%,18.20%
CA,15,69.90%,24.20%
CA,16,58.00%,36.40%
CA,17,73.90%,20.50%
CA,18,73.40%,20.20%
CA,19,72.90%,21.50%
CA,20,70.40%,23.20%
CA,21,55.20%,39.70%
CA,22,42.60%,52.10%
CA,23,36.10%,58.10%
CA,24,56.70%,36.50%
CA,25,50.30%,43.60%
CA,26,57.90%,36.00%
CA,27,66.00%,28.40%
CA,28,72.10%,22.30%
CA,29,77.70%,16.80%
CA,30,69.10%,25.70%
CA,31,57.70%,36.60%
CA,32,66.60%,27.70%
CA,33,67.80%,26.50%
CA,34,83.60%,10.70%
CA,35,67.70%,26.90%
CA,36,52.20%,43.40%
CA,37,85.70%,9.60%
CA,38,67.00%,27.40%
CA,39,51.50%,42.90%
CA,40,82.20%,12.80%
CA,41,61.00%,33.10%
CA,42,41.40%,53.40%
CA,43,78.40%,16.70%
CA,44,83.00%,12.30%
CA,45,49.80%,44.40%
CA,46,66.30%,27.90%
CA,47,62.60%,31.00%
CA,48,47.90%,46.20%
CA,49,50.70%,43.20%
CA,50,39.60%,54.60%
CA,51,71.80%,22.80%
CA,52,58.10%,35.60%
CA,53,64.50%,29.60%
CO,1,69.00%,23.20%
CO,2,56.20%,34.90%
CO,3,40.00%,52.00%
CO,4,34.30%,57.40%
CO,5,33.20%,57.20%
CO,6,50.20%,41.30%
CO,7,51.40%,39.40%
CT,1,59.40%,36.30%
CT,2,48.70%,45.80%
CT,3,55.90%,40.40%
CT,4,59.60%,36.60%
CT,5,49.90%,45.80%
DE,AL,53.40%,41.90%
FL,1,28.20%,67.50%
FL,2,30.60%,66.20%
FL,3,40.20%,56.20%
FL,4,34.10%,62.10%
FL,5,61.30%,35.90%
FL,6,39.90%,56.90%
FL,7,51.40%,44.10%
FL,8,37.70%,58.40%
FL,9,54.80%,41.90%
FL,10,61.80%,34.90%
FL,11,32.50%,64.80%
FL,12,38.80%,57.40%
FL,13,49.60%,46.40%
FL,14,57.20%,39.00%
FL,15,43.10%,53.10%
FL,16,43.00%,53.70%
FL,17,35.00%,62.20%
FL,18,44.10%,53.30%
FL,19,37.50%,59.60%
FL,20,80.20%,18.10%
FL,21,58.60%,39.10%
FL,22,56.80%,41.00%
FL,23,61.90%,35.80%
FL,24,83.00%,15.30%
FL,25,47.90%,49.60%
FL,26,56.70%,40.60%
FL,27,58.60%,38.90%
GA,1,40.90%,56.40%
GA,2,55.00%,43.30%
GA,3,32.80%,64.30%
GA,4,75.30%,22.20%
GA,5,85.00%,11.90%
GA,6,46.80%,48.30%
GA,7,44.80%,51.10%
GA,8,34.40%,63.30%
GA,9,19.30%,77.80%
GA,10,35.80%,61.30%
GA,11,35.30%,60.30%
GA,12,40.70%,56.90%
GA,13,71.00%,26.60%
GA,14,22.10%,75.00%
HI,1,63.10%,30.50%
HI,2,61.40%,29.60%
ID,1,25.40%,63.70%
ID,2,29.80%,54.50%
IL,1,75.40%,21.40%
IL,2,78.00%,19.10%
IL,3,55.20%,39.90%
IL,4,82.10%,13.20%
IL,5,70.50%,23.90%
IL,6,50.20%,43.20%
IL,7,87.40%,9.20%
IL,8,58.10%,36.40%
IL,9,70.10%,24.90%
IL,10,62.00%,32.60%
IL,11,58.90%,35.40%
IL,12,40.20%,55.00%
IL,13,44.20%,49.70%
IL,14,44.80%,48.70%
IL,15,24.50%,70.70%
IL,16,38.30%,55.50%
IL,17,46.70%,47.40%
IL,18,33.30%,60.60%
IN,1,54.10%,41.50%
IN,2,36.10%,59.30%
IN,3,30.10%,65.10%
IN,4,30.20%,64.30%
IN,5,41.30%,53.10%
IN,6,27.40%,67.70%
IN,7,59.00%,36.20%
IN,8,30.90%,64.60%
IN,9,34.20%,61.10%
IA,1,45.20%,48.70%
IA,2,45.00%,49.10%
IA,3,45.00%,48.50%
IA,4,33.50%,60.90%
KS,1,24.30%,69.30%
KS,2,37.40%,55.80%
KS,3,47.20%,46.00%
KS,4,33.00%,60.20%
KY,1,23.90%,72.40%
KY,2,27.60%,67.50%
KY,3,54.90%,39.90%
KY,4,29.30%,65.20%
KY,5,17.50%,79.60%
KY,6,39.40%,54.70%
LA,1,26.70%,68.70%
LA,2,74.60%,22.20%
LA,3,29.20%,67.30%
LA,4,36.60%,60.60%
LA,5,34.10%,63.50%
LA,6,31.00%,64.80%
ME,1,54.10%,39.30%
ME,2,41.10%,51.40%
MD,1,33.50%,61.90%
MD,2,60.20%,35.60%
MD,3,62.90%,32.10%
MD,4,77.70%,19.20%
MD,5,63.60%,32.60%
MD,6,55.80%,39.70%
MD,7,75.50%,20.50%
MD,8,64.60%,30.90%
MA,1,57.20%,36.50%
MA,2,56.20%,36.80%
MA,3,58.20%,35.40%
MA,4,59.20%,35.00%
MA,5,69.30%,25.70%
MA,6,56.10%,38.20%
MA,7,84.10%,11.90%
MA,8,60.40%,34.40%
MA,9,52.50%,41.80%
MI,1,36.60%,57.90%
MI,2,38.20%,55.80%
MI,3,42.20%,51.60%
MI,4,34.70%,59.50%
MI,5,49.70%,45.50%
MI,6,42.90%,51.30%
MI,7,38.70%,55.70%
MI,8,43.90%,50.60%
MI,9,51.50%,43.70%
MI,10,31.60%,63.80%
MI,11,45.30%,49.70%
MI,12,60.80%,34.50%
MI,13,78.80%,18.10%
MI,14,79.20%,18.30%
MN,1,38.40%,53.30%
MN,2,45.30%,46.50%
MN,3,50.80%,41.40%
MN,4,61.50%,30.60%
MN,5,73.70%,18.50%
MN,6,33.20%,58.90%
MN,7,31.00%,61.90%
MN,8,38.60%,54.20%
MS,1,32.40%,65.40%
MS,2,63.60%,35.10%
MS,3,36.80%,61.30%
MS,4,28.20%,69.40%
MO,1,77.00%,18.80%
MO,2,42.30%,52.60%
MO,3,28.10%,67.10%
MO,4,29.30%,65.30%
MO,5,54.10%,40.60%
MO,6,31.70%,63.10%
MO,7,24.70%,70.40%
MO,8,21.00%,75.40%
MT,AL,35.90%,56.50%
NE,1,36.20%,57.50%
NE,2,46.00%,48.20%
NE,3,20.00%,74.90%
NV,1,61.60%,32.60%
NV,2,39.70%,52.00%
NV,3,46.50%,47.50%
NV,4,49.50%,44.60%
NH,1,46.60%,48.20%
NH,2,48.70%,46.30%
NJ,1,0.606,0.361
NJ,2,0.46,0.506
NJ,3,0.452,0.514
NJ,4,0.41,0.558
NJ,5,0.477,0.488
NJ,6,0.562,0.406
NJ,7,0.486,0.475
NJ,8,0.757,0.215
NJ,9,0.643,0.331
NJ,10,0.852,0.128
NJ,11,0.479,0.488
NJ,12,0.65,0.318
NM,1,51.60%,35.10%
NM,2,39.90%,50.10%
NM,3,51.80%,36.70%
NY,1,42.20%,54.50%
NY,2,43.90%,53.00%
NY,3,51.60%,45.50%
NY,4,53.40%,43.80%
NY,5,85.70%,12.70%
NY,6,65.10%,32.10%
NY,7,86.90%,10.40%
NY,8,84.60%,13.50%
NY,9,83.50%,14.40%
NY,10,78.30%,18.80%
NY,11,43.80%,53.60%
NY,12,83.30%,13.50%
NY,13,92.30%,5.40%
NY,14,77.70%,19.80%
NY,15,93.80%,4.90%
NY,16,75.10%,22.50%
NY,17,58.60%,38.40%
NY,18,47.10%,49.00%
NY,19,43.70%,51.00%
NY,20,54.00%,40.50%
NY,21,40.00%,53.90%
NY,22,39.30%,54.80%
NY,23,39.70%,54.50%
NY,24,48.90%,45.30%
NY,25,55.50%,39.10%
NY,26,57.60%,38.00%
NY,27,35.20%,59.70%
NC,1,54.70%,43.60%
NC,2,60.30%,35.90%
NC,3,36.50%,61.00%
NC,4,65.20%,31.90%
NC,5,30.30%,67.20%
NC,6,59.40%,37.90%
NC,7,38.70%,58.60%
NC,8,44.10%,53.20%
NC,9,43.30%,53.70%
NC,10,29.60%,67.80%
NC,11,39.90%,57.20%
NC,12,67.30%,29.50%
NC,13,30.60%,67.00%
ND,AL,27.70%,64.10%
OH,1,44.60%,51.20%
OH,2,39.70%,55.80%
OH,3,67.00%,28.60%
OH,4,30.70%,64.30%
OH,5,34.60%,59.70%
OH,6,26.70%,69.30%
OH,7,32.80%,62.50%
OH,8,30.60%,65.10%
OH,9,58.70%,36.50%
OH,10,44.00%,51.30%
OH,11,80.50%,17.00%
OH,12,41.90%,53.20%
OH,13,51.10%,44.60%
OH,14,42.10%,53.60%
OH,15,39.90%,55.30%
OH,16,39.50%,56.10%
OK,1,32.70%,61.40%
OK,2,22.80%,72.90%
OK,3,20.90%,73.60%
OK,4,28.30%,65.70%
OK,5,39.80%,53.20%
OR,1,57.30%,34.50%
OR,2,36.40%,56.50%
OR,3,70.70%,22.50%
OR,4,46.10%,46.00%
OR,5,48.30%,44.10%
PA,1,51.00%,49.00%
PA,2,74.60%,25.40%
PA,3,92.80%,7.20%
PA,4,60.10%,39.90%
PA,5,64.50%,35.50%
PA,6,54.80%,45.20%
PA,7,50.60%,49.40%
PA,8,45.10%,54.90%
PA,9,32.30%,67.70%
PA,10,45.30%,54.70%
PA,11,36.40%,63.60%
PA,12,31.00%,69.00%
PA,13,26.40%,73.60%
PA,14,35.00%,65.00%
PA,15,27.50%,72.50%
PA,16,37.90%,57.90%
PA,17,46.70%,49.20%
PA,18,61.70%,34.90%
RI,1,60.50%,34.90%
RI,2,51.10%,44.00%
SC,1,40.40%,53.50%
SC,2,38.60%,56.30%
SC,3,29.00%,67.00%
SC,4,34.50%,60.20%
SC,5,38.80%,57.30%
SC,6,66.80%,30.30%
SC,7,39.10%,58.00%
SD,AL,31.70%,61.50%
TN,1,19.70%,76.70%
TN,2,29.70%,65.10%
TN,3,30.20%,65.40%
TN,4,27.40%,68.60%
TN,5,56.60%,38.20%
TN,6,23.70%,72.60%
TN,7,28.20%,67.50%
TN,8,30.70%,66.30%
TN,9,77.50%,19.80%
TX,1,25.30%,72.20%
TX,2,43.10%,52.40%
TX,3,40.60%,54.80%
TX,4,21.80%,75.40%
TX,5,34.30%,62.70%
TX,6,41.90%,54.20%
TX,7,48.50%,47.10%
TX,8,23.90%,72.70%
TX,9,79.30%,18.00%
TX,10,43.20%,52.30%
TX,11,19.10%,77.80%
TX,12,32.70%,62.90%
TX,13,16.90%,79.90%
TX,14,38.40%,58.20%
TX,15,56.70%,40.00%
TX,16,67.90%,27.20%
TX,17,38.80%,56.30%
TX,18,76.50%,20.00%
TX,19,23.50%,72.50%
TX,20,61.00%,34.30%
TX,21,42.50%,52.50%
TX,22,44.20%,52.10%
TX,23,49.80%,46.40%
TX,24,44.50%,50.70%
TX,25,40.20%,55.10%
TX,26,34.40%,60.90%
TX,27,36.50%,60.10%
TX,28,58.30%,38.50%
TX,29,71.10%,25.40%
TX,30,79.10%,18.30%
TX,31,40.80%,53.50%
TX,32,48.50%,46.60%
TX,33,72.90%,23.70%
TX,34,59.20%,37.70%
TX,35,64.10%,30.50%
TX,36,25.20%,72.00%
UT,1,22.40%,49.70%
UT,2,32.00%,46.00%
UT,3,23.30%,47.20%
UT,4,32.40%,39.10%
VT,AL,56.70%,30.30%
VA,1,41.20%,53.60%
VA,2,45.40%,48.80%
VA,3,63.60%,31.90%
VA,4,58.70%,37.10%
VA,5,42.30%,53.40%
VA,6,34.90%,59.70%
VA,7,44.00%,50.50%
VA,8,73.50%,20.90%
VA,9,27.30%,68.80%
VA,10,52.20%,42.20%
VA,11,66.90%,27.50%
WA,1,54.10%,37.80%
WA,2,56.90%,34.80%
WA,3,42.50%,49.90%
WA,4,35.10%,57.90%
WA,5,39.10%,52.20%
WA,6,51.80%,39.50%
WA,7,82.10%,12.20%
WA,8,47.70%,44.70%
WA,9,70.50%,23.30%
WA,10,51.30%,39.90%
WV,1,26.40%,68.00%
WV,2,29.40%,65.80%
WV,3,23.30%,72.50%
WI,1,42.30%,52.60%
WI,2,65.80%,29.00%
WI,3,44.80%,49.30%
WI,4,74.00%,21.80%
WI,5,37.30%,57.40%
WI,6,38.80%,55.70%
WI,7,37.30%,57.80%
WI,8,38.60%,56.20%
WY,AL,22.50%,70.10%
